Category,Resume
Database Administrator,"Ability: Installation and Building Server, Running Backups, Recovering and Restoring Models, Support various MS SQL Server, MS SQL Server 2005/2008, environments from SQL Server, /2008R2R2/2012/2014, 2005 thru SQL Server 2008r2 as, administration including, well as with SQL Server 2012 on, installation, configuration,, upgrades, capacity planning,, performance tuning, backup and, recovery., Familiar with virtualization and, managing SQL databases in a, virtual environment., Management of users including, creation/alteration, grant of, system/DB roles and permissions, on various database objects., Design and implement SQL Server, 201, databases for mission-critical, 2005, SQL Server 2008 R2,, business., Environment transition planning, (development, test, stage,, production)., Perform routine backup and, recovery testing and documenting, recovery scenarios., Use SQL Profiler for, troubleshooting, monitoring, and, optimization of SQL Server and, SQL code., Manage the production and, development databases including, performance tuning, capacity, planning, SQL Server clustering,, database security configuration,, and database continuity., Excellent analytical,, communication skills, work ethics, and ability to work in a team, environment with strong, determination and commitment to, the deliverables., Highly motivated self-starter with, the ability to work independently.
Education: Bachelor of Science@Lead City University
Experience: Database Administrator@Family Private Care LLC | Database Administrator@Incomm
Skill: Database administration, Database, Ms sql server, Ms sql server 2005, Sql server, Sql server 2005, Sql server 2008, Sql server 2008 r2, Sql server 2012, Sql, Sql queries, Stored procedures, Clustering, Backups, T-sql, Virtualization, R2, Maintenance, Problem solving, Shipping, Database administration, Database, Ms sql server, Ms sql server 2005, Sql server, Sql server 2005, Sql server 2008, Sql server 2008 r2, Sql server 2012, Sql, Sql queries, Stored procedures, Clustering, Backups, T-sql, Virtualization, R2, Maintenance, Problem solving, Shipping"
Database Administrator,"Ability: database management systems administration, developing and maintaining database, working on high-end servers, analyzing business requirements, developing and designing data models, providing and designing db tools, assessing and executing implementing of new technologies, working in coordination with company developers and project managers, developing training programs, training technical support and applications personnel, monitoring performance and capacity, providing resolutions to system problems, providing technical support for sql database environment, overseeing databases development and organization, communicating regularly with staff, creating database with back-up system, monitoring data availability for faster query response, designing conceptual schema as per the client needs, looking after the security of company data, testing and installing latest versions of database management systems, granting access to users as per their needs and requirements
Education: bsc in computer science@lagos state university
Experience: Database Administrator@Intercontinental Registry
Skill: sql server management studio, visual studio, sql, microsoft powerpoint, windows xp, microsoft office, assembly language, microsoft windows 7, c, c#, visual basic, java programming, microprocessors, hardware/systems design, digital electronics, system organization, microsoft excel"
Oracle Database Administrator,"Ability: Over 4+ years of Experience as Architecture, Experienced in Installation and Maintaining Highly Critical Databases in any Operational mode on Unix/Linux, Sun Solaris, Experienced in 10g, 11g, 12c databases, Responsible for installing Oracle 11g and 12c in Single Node & Multi node's Configure host and listener, Experienced in Creating Users, Roles and Profiles, Assigning Roles and Profiles to Users, Experience on Data Guard setup 10g/11g/12c, Expertise in Managing and monitoring Database Storage Structures, Data Files Space, Resizing and Adding new Data files, Maintaining the Cold and Hot, Logical and RMAN Backups of the Databases, Performing Logical Backups Using Export Utility and Restoring Specific Object or Schema Using Import Utility, Monitoring and Performing Daily incremental Backups, Weekly Backups Using RMAN, Experience in Concept of Flashback Mechanism, Having Good and Usable Knowledge on Automatic Storage Management(ASM), Conversion of Non-ASM Database to ASM Database and Monitoring ASM instances, Experience on Cloning User man and RMAN, Experience on Applying patches to Database CPU and PSU and interim Patches, Experience on Performance tuning and Troubleshooting of Database, Maintaining of Buffer Cache, Library Cache, and Dictionary Cache, Taking Care of Wait Events, Analysing Instance and System Performance, Analysing the DB performance Using AWR, ASH and ADDM Reports, Upgrade Database from 10g to 11g and 11g to 12c, Creation of ASM Databases, ASM Instances, Backups & Recovery of Databases, Table-Spaces, Data files, Design and Develop Database Backup, Recovery and Operations Procedures
Education: Master of Computer Applications in Science and technology@JNTU - Kakinada, Andhra Pradesh
Experience: Oracle Database Administrator@Cognizant | Oracle Database Administrator@Convergys
Skill: DATABASES, ORACLE (4 years), ORACLE 10G, SQL, LINUX, RMAN (4 years), DATAGUARD (3 years), DATABASES, ORACLE (4 years), ORACLE 10G, SQL, LINUX, RMAN (4 years), DATAGUARD (3 years)"
Oracle Database Administrator,"Ability: Oracle Database Administration, Database Backup and Recovery, Database Tuning and Optimization, Database Cloning and Migration, Database Patching and Upgrades, Database Security Management, SQL Tuning, PL/SQL Development, Shell Scripting, RMAN, Data Guard, RAC, ASM, GoldenGate, Enterprise Manager, Flashback Technology, Performance Monitoring and Tuning, SQL Tuning Tools, Data Pump, Transportable Tablespaces, Materialized Views, Replication, Technical Support, Equipment Installation and Maintenance, Software Updates, Electrical Safety Testing, Data Entry, Microsoft Excel
Education: nan@School of Professional and Graduate Studies/Technical Courses, BAKER UNIVERSITY | General/Business/Science Courses@UNIVERSITY OF ALASKA
Experience: Oracle Database Administrator@SUNTRUST BANK | Oracle Database Administrator@ESTES-EXPRESS | Field Service Representative / Technician@ROCHE DIAGNOSTICS FOR ADECCO TECHNICAL
Skill: Oracle Databases, Database Administration, Database Monitoring, Database Tuning, Database Backup and Recovery, Database Cloning, Database Patching, Database Upgrades, Database Migration, Database Security, SQL Tuning, PL/SQL, Shell Scripting, RMAN, Data Guard, RAC, ASM, GoldenGate, Enterprise Manager, Flashback Technology, Performance Monitoring and Tuning, SQL Tuning Tools, Data Pump, Transportable Tablespaces, Materialized Views, Replication, Oracle Database Administration, Database Cloning, Database Migration, Database Backup and Recovery, Database Patching, Database Upgrades, Database Security, Database Monitoring, Database Tuning, SQL Tuning, RMAN, Data Pump, Transportable Tablespaces, Materialized Views, Streams, Physical Standby Databases, Data Guard, Technical Support, Equipment Installation, Equipment Maintenance, Software Updates, Electrical Safety Testing, Data Entry, Microsoft Excel"
Oracle Database Administrator,"Ability: Oracle Database Administration, Oracle Exadata, Oracle Enterprise Manager, Oracle RAC, Linux Administration, Solaris Administration, Database Installation, Database Upgrading, Database Patching, Database Sizing, Database Objects Management, Data Migrations, Database Troubleshooting, Database Performance Tuning, Database Backup and Recovery, Database Integrity and Security, Transparent Data Encryption, Software Quality Assurance, Requirement Gathering, Test Cases Development, Oracle EBS Administration, Oracle Clusterware Administration, ASM Administration, Grid Infrastructure Installation, RMAN Administration, Disaster Recovery Planning, Archival Processing, Data Protection, SQL Tuning, Database Patching, Logical and Physical Data Modeling, Database Migration and Upgrades, Oracle Dataguard Administration, Cross Platform Database Migrations, Database Cloning and Refreshes, Database Performance Monitoring and Tuning, Database Maintenance and Documentation
Education: Biochemistry@University Of Yaounde
Experience: Oracle Database Administrator@Caresource | Oracle Database Administrator@Anthem | Production Support Database Administrator@PNC Bank
Skill: Oracle Database, Oracle Database Administration, Oracle Exadata, Oracle Enterprise Manager Cloud Control 12c & 13c, Oracle 11gR2 RAC, Linux, Solaris, Installation, Upgrading, Patching, Sizing, Oracle Databases, Oracle Database Objects, Data Migrations, Troubleshooting, Performance & Tuning, Backup & Recovery, Database Integrity, Security, TDE, Transparent Data Encryption, SQA, Software Quality Assurance, Requirement Gathering, Test Cases Development, Oracle EBS, Oracle 9i, Oracle 10g, Oracle 11g, Oracle 12c RAC, Oracle Clusterware, ASM, Grid Installation, RAC Clusterware Administration, Configuration, Patching, SRVCTL, CRSCTL, ASMCMD, CELLCLI, DCLI, RMAN, Recovery Manager, PITR, TSPITR, Export/Import, Flashback Technologies, Disaster Recovery, Archival Processing, Data Protection, Performance Tuning, EXPLAIN PLAN, TKPROF, STATSPACK, SQL TRACE, ORADEBUG, SQL Coding, DDL, DML, V$ Performance Views, SQL Tuning Advisor, SQL Profiles, SQL Monitoring, SQL Access Advisor, SQL Baselines, SQLTXTRACT, Patching, Critical Patch Update, Patch Set Update, One-off Patches, OPatch, Logical Data Model, Physical Data Model, ERwin Modeler, Flashback Recovery, Data Pump, AWR, ASM, ADDM, ASH, Recycle Bin, Grid Monitoring, Cross Platform Migrations, Windows, Linux, Solaris, HP, AIX, Oracle Dataguard, Physical Standby Databases, Disaster Recovery, RMAN, Shell Scripts, ASM File System Migration, RMAN Catalog, RMAN No Catalog, Point-In-Time Recovery, Flashback, Cross Platform Transportable Tablespace, Statspack, AWR, ADDM, TKPROF, Explain Plan, Upgrades, Patches, TAR Support, Cloning, Backups, Recovery Manager, Performance Tuning, Capacity Planning, Documentation, Exadata, Red Hat Linux 6.5, Datapump, EXPDP, IMPDP, RMAN Duplicate, Database Cloning, Backup/Restoration Strategy, Logical Backups, Export/Import Data Pump, Oracle Enterprise Manager 12c, Oracle Management Repository, EMCTL, Incident Rules, Administration Groups, Template Collections, SQL Tuning, PL/SQL Tuning, Oracle Contention, AWR, ADDM, ASH, Secure SCP, Secure FTP, Database Cloning, RMAN, SQL Trace, TKPROF, STATSPACK, Explain Plan, AWR, ADDM, 2 Node RAC, Linux 11g R2, Dataguard, Logical Standby, Physical Standby, RMAN, Datapump Export/Import, Recovery Strategies, Database Crash Recovery, Media/Disk Failure Recovery, Physical Backups, CRON, RMAN, Oracle 11g, Oracle 12C RAC, Golden Gate, ASM, CRS, User Management, Groups, Roles, Profiles, Privileges, SQL Trace, TKPROF, Explain Plan, Integrity Constraints, Database Triggers, Security Patches, Patch Set, Critical Patch Updates, Patch Set Updates, One-off Patch, Transportable Tablespace, Datapump Export/Import, Data Refreshes, RMAN, Oracle 9i, Oracle 10g, Oracle 10gR2 RAC, Oracle 11g, Oracle 12c, Oracle Wallet, Tablespace TDE, V$ Dynamic Performance Views, Alert Log Files, Trace Files, Space Management, Capacity Planning, Disaster Recovery, Database Maintenance, Physical Standby, Failover, Switchover, Data Guard Broker, Materialized Views, Oracle Streams, Oracle 10gR2 Patches"
Oracle Database Administrator,"Ability: database design, monitoring & performance tuning, migration, upgrades, backup & recovery, cloning, replication, security implementations, analytical, verbal, written, organizational, team player, motivational style, innovative solutions, manage multiple priorities, perform under pressure, proactive learner, update skills, improve productivity
Education: Information Technology@University of Maryland-University College
Experience: Oracle Database Administrator@Uber Technologies Inc | Database Administrator / Developer@SYSCO | NFI Junior DBA@NFI
Skill: DATABASE, ORACLE, PL/SQL, SQL, ENCRYPTION, RMAN, LINUX, SHELL SCRIPTING, UNIX, UNIX SHELL, ETL, INFORMATICA, BASH, SCRIPTING, SECURITY, CAPACITY PLANNING, PERFORMANCE TUNING, OEM, CLONING, ARCHITECTURE, DBA, Oracle Dba, Sql Server, DATABASE, ORACLE, PL/SQL, SQL, LINUX, UNIX, RMAN, DATAPUMP, DBUA, DATA GUARD, DATABASE, ORACLE, DATAPUMP, DBUA, RMAN, LINUX, WINDOWS, SQL SERVER"
Database Administrator,"Ability: Designing, Developing, Managing, Troubleshooting, Databases, Oracle Fusion Middleware, SOA, Oracle EBS, Oracle GoldenGate, Oracle Dataguard, Oracle RAC, Oracle ASM, Oracle Upgrades, Oracle Patching, Performance Tuning, SQL Tuning, RMAN, Backup and Recovery
Education: BA Political Science@George Washington University
Experience: Database Administrator@Booz Allen Hamilton | Database Administrator@Huntington National Bank | Oracle Database Administrator@Coca Cola
Skill: Database, Database Administrator, Oracle, RAC, ASM, GoldenGate, Dataguard, Datapump, RMAN, AWR, ADDM, SQL Tuning, Oracle 10g, Oracle 11g, AIX, OEM, SQL*Loader, Datapump, RMAN, AWR, ADDM, SQL Tuning, Flashback, Partitioning, VPD, FGA"
Senior Oracle Database Administrator,"Ability: Change management, Data integration, Database, databases, Ddl, Encryption, Etl, Excel, Extract, transform, and load, Integration, Integrator, Linux, Ms sql server, Oracle, performance tuning, Rman, security, Sops, Sql, Sql server, Oracle Dba, Sql Database, DBA, Sql Dba
Education: Associate's degree@University of Maryland
Experience: Senior Oracle Database Administrator@United Health group | Oracle Database Administrator@Weatherford laboratories | Database Administrator@Walmart
Skill: Change management, Data integration, Database, databases, Ddl, Encryption, Etl, Excel, Extract, transform, and load, Integration, Integrator, Linux, Ms sql server, Oracle, performance tuning, Rman, security, Sops, Sql, Sql server, Oracle Dba, Sql Database, DBA, Sql Dba, Database, databases, Ddl, Encryption, Linux, Ms sql server, Oracle, Rman, security, Sql, Sql server, Database, databases, Ddl, Ms sql server, Oracle, Rman, security, Sql, Sql server"
Database Administrator,"Ability: HP-UX, Sun Solaris, AIX, RHEL, Linux Enterprise Server, Windows, Database Monitoring, Backup & Recovery, Cloning, Troubleshooting, Physical Database Design, On-call Production Support, OEM Cloud Control, Transparent Data Encryption, Goldengate, Patch Deployment, Oracle Financial Services Lending and Leasing, Monitoring/Health Check Alert Scripts, Oracle RAC, Clusterware and ASM, OLTP and OLAP, Dataguard, Transportable Tablespaces, Data Pump, Export/Import Utilities, ADDM, SQL Tuning, Access Advisors, AWR, ASH, Explain Plan, Shell Scripts, Crontab, SQL Scripts, AWS Migration, TKPROF, Explain Plan, STATSPACK, Bilingual - French
Education: Bachelor's Degree@University of Yaoundé II
Experience: Database Administrator@First Tennessee Bank | Oracle Database Administrator@United Airlines
Skill: Oracle Database, Clusterware, ASM, Dataguard Broker, Goldengate, EXPDP/IMPDP, RMAN, Cloud Control, PostgreSQL, pgadmin, psql, pgbouncer, pgtool, pgbackrest, vacuum, SQL, PL/SQL, SQL*Loader, AWS, Oracle 11g, Oracle 12c, Linux, Tablespace Management, RMAN, Dataguard, Active Dataguard, ASM, Goldengate, OEM Grid Control, Performance Tuning, Security Patching"
Database Administrator,"Ability: Database creation and maintenance, SQL development, Database consolidation, Custom database solution, Web development, Hardware troubleshooting, Inventory management, Front desk duties
Education: B.A. in Computer Science@The University of Iowa
Experience: Database Administrator@City of Iowa City | Database development@ITS, University | Student Administrator@Library IT | Receptionist@Office of Statewide Clinical Education Programs
Skill: Microsoft SQL development, SQL logical and physical database design, Database implementation and maintenance, Database consolidation, PHP, SQL, FileMaker, Custom database solution, Web development in HTML and CSS, Hardware troubleshooting and replacement, Inventory system management, Hardware installation and reimaging, Front desk duties, Doctor verification, Paperwork organization"
